DateTime,Users,In-Game
2004-01-13 00:00:00,84998.0,
2004-01-14 00:00:00,,
2004-01-15 00:00:00,,
2004-01-16 00:00:00,,
2004-01-17 00:00:00,,
2004-01-18 00:00:00,,
2004-01-19 00:00:00,,
2004-01-20 00:00:00,,
2004-01-21 00:00:00,,
2004-01-22 00:00:00,,
2004-01-23 00:00:00,,
2004-01-24 00:00:00,,
2004-01-25 00:00:00,,
2004-01-26 00:00:00,,
2004-01-27 00:00:00,,
2004-01-28 00:00:00,,
2004-01-29 00:00:00,,
2004-01-30 00:00:00,,
2004-01-31 00:00:00,,
2004-02-01 00:00:00,,
2004-02-02 00:00:00,,
2004-02-03 00:00:00,,
2004-02-04 00:00:00,,
2004-02-05 00:00:00,,
2004-02-06 00:00:00,,
2004-02-07 00:00:00,,
2004-02-08 00:00:00,,
2004-02-09 00:00:00,,
2004-02-10 00:00:00,,
2004-02-11 00:00:00,,
2004-02-12 00:00:00,,
2004-02-13 00:00:00,,
2004-02-14 00:00:00,,
2004-02-15 00:00:00,,
2004-02-16 00:00:00,,
2004-02-17 00:00:00,,
2004-02-18 00:00:00,,
2004-02-19 00:00:00,,
2004-02-20 00:00:00,,
2004-02-21 00:00:00,,
2004-02-22 00:00:00,,
2004-02-23 00:00:00,,
2004-02-24 00:00:00,,
2004-02-25 00:00:00,,
2004-02-26 00:00:00,,
2004-02-27 00:00:00,,
2004-02-28 00:00:00,,
2004-02-29 00:00:00,,
2004-03-01 00:00:00,,
2004-03-02 00:00:00,,
2004-03-03 00:00:00,,
2004-03-04 00:00:00,,
2004-03-05 00:00:00,,
2004-03-06 00:00:00,,
2004-03-07 00:00:00,,
2004-03-08 00:00:00,,
2004-03-09 00:00:00,,
2004-03-10 00:00:00,,
2004-03-11 00:00:00,,
2004-03-12 00:00:00,,
2004-03-13 00:00:00,,
2004-03-14 00:00:00,,
2004-03-15 00:00:00,,
2004-03-16 00:00:00,,
2004-03-17 00:00:00,,
2004-03-18 00:00:00,,
2004-03-19 00:00:00,,
2004-03-20 00:00:00,,
2004-03-21 00:00:00,,
2004-03-22 00:00:00,,
2004-03-23 00:00:00,,
2004-03-24 00:00:00,,
2004-03-25 00:00:00,,
2004-03-26 00:00:00,,
2004-03-27 00:00:00,,
2004-03-28 00:00:00,,
2004-03-29 00:00:00,,
2004-03-30 00:00:00,,
2004-03-31 00:00:00,,
2004-04-01 00:00:00,,
2004-04-02 00:00:00,,
2004-04-03 00:00:00,93635.0,
2004-04-04 00:00:00,,
2004-04-05 00:00:00,,
2004-04-06 00:00:00,,
2004-04-07 00:00:00,,
2004-04-08 00:00:00,,
2004-04-09 00:00:00,,
2004-04-10 00:00:00,,
2004-04-11 00:00:00,,
2004-04-12 00:00:00,97480.0,
2004-04-13 00:00:00,,
2004-04-14 00:00:00,,
2004-04-15 00:00:00,,
2004-04-16 00:00:00,,
2004-04-17 00:00:00,,
2004-04-18 00:00:00,,
2004-04-19 00:00:00,,
2004-04-20 00:00:00,,
2004-04-21 00:00:00,,
2004-04-22 00:00:00,,
2004-04-23 00:00:00,,
2004-04-24 00:00:00,,
2004-04-25 00:00:00,,
2004-04-26 00:00:00,,
2004-04-27 00:00:00,,
2004-04-28 00:00:00,,
2004-04-29 00:00:00,,
2004-04-30 00:00:00,,
2004-05-01 00:00:00,,
2004-05-02 00:00:00,,
2004-05-03 00:00:00,,
2004-05-04 00:00:00,,
2004-05-05 00:00:00,,
2004-05-06 00:00:00,,
2004-05-07 00:00:00,,
2004-05-08 00:00:00,,
2004-05-09 00:00:00,,
2004-05-10 00:00:00,,
2004-05-11 00:00:00,,
2004-05-12 00:00:00,,
